C OI,C CHNG IN OI,C VOLUME,C IV,C LTP,C CHNG,C BID QTY,C BID,C ASK,C ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
31,-3,9,-,"2,460.00",452.5,100,"2,468.15","2,504.70",100,"19,650.00","3,000",2.55,2.6,50,0.7,2.55,53.74,"2,35,904","47,360","1,64,566"
102,-3,3,-,"2,385.00",150,200,"2,420.60","2,440.00",200,"19,700.00","4,850",2.55,2.65,650,0.9,2.55,52.72,"96,639","8,378","52,334"
4,-,-,-,"1,873.05",-,300,"2,314.65","2,411.95",300,"19,750.00",50,2.55,2.7,250,0.8,2.7,52.05,"12,030","2,393","8,395"
26,-,-,-,"2,055.00",-,600,"2,286.85","2,339.50",300,"19,800.00","12,100",2.5,2.55,650,0.7,2.55,50.66,"61,085","9,763","35,293"
-,-,-,-,-,-,300,"2,233.10","2,315.15",150,"19,850.00","1,000",2.25,2.9,"1,000",0.8,2.8,50.21,"13,403",523,"6,589"
8,-,-,-,"1,752.00",-,"1,800","2,186.95","2,265.25","1,500","19,900.00","1,750",2.4,2.75,"1,000",0.45,2.45,48.38,"50,876","8,995","18,949"
29,-,-,-,"1,724.00",-,"1,750","1,985.65","2,267.50","1,000","19,950.00","1,750",2,3,200,-0.05,2,46.23,"5,301",168,"2,718"
820,-21,46,52.47,"2,120.10",179.1,200,"2,123.20","2,130.05",150,"20,000.00",550,2.55,2.7,"2,650",0.5,2.55,46.57,"1,95,083","14,895","61,360"
65,-54,144,59.9,"2,080.00",189,"1,200","2,069.95","2,112.75","1,200","20,050.00",700,2.3,3,400,0.15,2.3,44.98,"7,252",442,"2,818"
55,-,2,-,"1,965.00",168,200,"1,986.25","2,030.90",50,"20,100.00",500,2,2.8,50,-0.25,2,43.23,"35,789","1,367","6,666"
4,-,-,-,"1,500.00",-,"1,800","1,934.40","2,258.95","1,000","20,150.00","2,450",1.8,3.25,950,-0.4,1.9,41.98,"7,185",917,"3,288"
52,-,4,-,"1,877.65",420.05,"1,800","1,887.45","1,967.80","1,800","20,200.00",850,2.3,3.25,450,0.05,2.3,41.94,"31,526",-55,"6,369"
79,-5,5,-,"1,819.00",449,"1,800","1,837.70","1,917.15","1,800","20,250.00","1,600",1.6,4,250,-0.8,1.6,39.19,"6,613","1,056","3,520"
14,-1,1,49.98,"1,825.00",175,200,"1,822.60","1,837.55","1,650","20,300.00","1,800",2.55,2.95,500,0.2,2.55,40.44,"57,735",-692,"10,967"
14,-2,19,53.06,"1,781.50",483.05,"1,800","1,734.35","1,837.35","3,600","20,350.00",900,1.6,5,200,-1,1.6,37.24,"13,761",-146,"2,381"
62,-1,3,-,"1,710.00",154.5,50,"1,723.50","1,734.15",200,"20,400.00","1,800",2.25,3.5,50,-0.8,2,37.24,"63,173",883,"15,701"
27,-2,2,-,"1,590.00",386.55,200,"1,643.35","1,713.85",50,"20,450.00","5,000",2.05,4,200,-0.4,2.4,37.08,"22,220","-1,108","4,942"
"1,168",-30,47,47.38,"1,628.50",200.35,150,"1,623.60","1,662.30",300,"20,500.00","1,800",3.1,3.3,550,0.2,3.1,37.29,"2,39,093","8,186","79,068"
95,-,-,-,"1,119.35",-,"1,800","1,538.10","1,616.00","1,800","20,550.00",450,2.6,3.5,350,0.45,3.5,36.85,"23,449","-1,118","5,620"
212,-91,140,41.23,"1,523.20",188.7,200,"1,525.15","1,531.75",50,"20,600.00","80,150",2.85,3.8,"1,250",0.7,3.8,36.21,"1,14,480","-6,220","29,549"
-,-,-,-,-,-,"1,800","1,437.10","1,532.25","3,600","20,650.00",250,3.1,5,"1,150",-0.3,3.1,34.15,"68,365","-1,291","15,354"
104,6,113,29.9,"1,415.85",181.75,150,"1,426.20","1,432.20",200,"20,700.00","7,000",2.7,5.5,"1,200",1.15,4.55,32.65,"1,76,383","-24,341","40,466"
27,-,-,-,"1,203.85",1.9,"1,800","1,330.00","1,418.90","3,600","20,750.00",900,3.25,3.8,600,-0.05,3.8,32.99,"72,350","-1,634","19,707"
465,-1,33,-,"1,300.00",160.6,200,"1,325.10","1,331.90",150,"20,800.00",100,3.2,4.15,50,-,4,31.54,"3,53,823","-49,079","60,399"
58,-,-,-,"1,103.25",-1.25,"1,800","1,238.30","1,319.70","3,600","20,850.00",100,3,5,"2,150",-1.35,3.2,30.09,"1,00,336","-5,184","18,212"
699,-8,16,-,"1,214.50",182.05,100,"1,226.50","1,232.35",150,"20,900.00",400,3.65,4,50,-1.05,3.9,29.88,"3,49,581","-24,437","52,518"
51,-,-,-,"1,000.15",7.35,"1,800","1,130.80","1,214.50",600,"20,950.00","4,600",3.55,5.1,50,-1.45,4.05,28.96,"1,26,068","-14,139","10,711"
"5,482","-1,138","2,635",35.73,"1,131.00",199.55,950,"1,128.00","1,132.05",150,"21,000.00","2,400",4.3,4.4,600,-1.8,4.4,28.13,"6,78,460","-4,519","1,36,389"
39,-1,9,-,"1,046.80",150.1,200,"1,076.75","1,109.80",50,"21,050.00",850,4.1,4.95,50,-2.6,4.1,26.83,"1,29,874","8,494","17,548"
"1,036",-174,667,32,"1,028.65",180.15,150,"1,027.05","1,032.50",150,"21,100.00",50,4.45,4.65,300,-2.8,4.65,26.11,"4,76,215","7,185","58,721"
226,-18,47,32.19,982.1,194.2,500,978.1,"1,011.00",300,"21,150.00","1,050",5,5.4,"1,200",-3.2,5.45,25.79,"2,65,839","34,660","58,835"
"1,832",-175,408,29.12,928.1,197.4,100,928.95,933.15,150,"21,200.00","1,100",5.5,5.7,"1,000",-4.5,5.55,24.72,"4,31,921","9,026","78,212"
295,-21,79,28.63,880,179.75,300,878.75,885.75,100,"21,250.00",550,6,6.85,50,-5.55,6,23.89,"1,36,825","-6,815","22,254"
"2,360",-168,999,28.95,834.4,188.75,350,829.75,835.05,150,"21,300.00","2,200",6.5,6.95,900,-7,6.5,23.05,"4,17,320","-2,139","75,515"
500,-13,106,27.09,783.1,185.4,50,785,786.3,150,"21,350.00","1,550",7.2,7.5,500,-9.1,7.2,22.28,"1,92,293","-4,733","28,691"
"5,567",-764,"2,251",26.41,735.25,197.25,50,734,736,200,"21,400.00",250,8.3,8.5,300,-10.7,8.3,21.66,"5,58,657","-1,039","86,133"
554,-575,"1,401",25.64,687.4,192.3,100,685,717.2,150,"21,450.00",200,9.05,9.55,"2,550",-13.95,9.1,20.81,"2,55,874","7,456","32,231"
"8,209","-1,661","11,458",23.77,638.95,190.4,400,636.05,637.8,100,"21,500.00",50,10.75,11.25,"1,600",-16.5,10.95,20.33,"7,96,922","35,352","1,17,720"
"2,835",-431,"1,950",23.4,590,187.75,100,587.4,590.15,150,"21,550.00","2,350",12,12.4,"1,500",-21,12.35,19.55,"3,47,234","7,188","34,566"
"12,754","-4,159","20,911",21.56,538.8,179.3,100,538.65,541,50,"21,600.00","2,450",14,14.6,"1,200",-25.85,14,18.76,"7,58,018","18,256","1,00,880"
"11,773","-3,466","9,472",21.58,495.1,173.8,150,492.55,495,150,"21,650.00",400,16.55,16.95,"5,400",-31.25,16.6,18.14,"4,71,714","-6,265","55,087"
"36,633","-7,750","70,467",20.06,445.8,164,100,445.05,448.3,50,"21,700.00",450,19.05,19.7,"1,050",-38.9,19.05,17.34,"9,98,103","-25,444","1,38,988"
"21,268","-5,564","29,483",19.25,400,156.8,350,398.45,401,"1,100","21,750.00",150,22.8,23.35,150,-47.85,22.85,16.73,"5,62,444","-3,249","72,797"
"37,860","-15,172","2,06,891",18.4,354.75,148,"1,050",354.75,356.4,100,"21,800.00",100,27.8,28,"15,200",-56.85,28,16.21,"11,56,333","-4,963","1,35,142"
"17,082","-7,398","1,26,086",17.63,311.35,138.6,100,310,311.7,150,"21,850.00",600,33.5,33.7,700,-69.15,33.7,15.56,"7,37,664","8,790","65,412"
