C OI,C CHNG IN OI,C VOLUME,C IV,C LTP,C CHNG,C BID QTY,C BID,C ASK,C ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
-,-,-,-,-,-,400,"1,532.65","2,033.00",400,"18,700.00",280,4.1,4.5,80,2.75,4.5,34.07,"41,533","4,375","4,414"
-,-,-,-,-,-,400,"1,446.60","1,933.30",400,"18,800.00",160,4.6,5.3,80,3,4.6,32.51,"25,590",794,945
-,-,-,-,-,-,400,"1,407.00","1,826.15",400,"18,900.00",240,5.15,5.45,40,3.35,5,31.22,"22,227",614,683
2,2,2,50.13,"1,627.00",-944.25,400,"1,501.60","1,672.05",400,"19,000.00",640,6.1,6.45,40,4.35,6,30.47,"81,969","6,940","7,019"
-,-,-,-,-,-,400,"1,136.15","1,636.30",400,"19,100.00",320,7.55,7.9,120,5.7,7.3,29.93,"39,560","1,088","1,184"
8,8,8,67.88,"1,572.30",-803.65,"1,600","1,244.35","1,486.60",400,"19,200.00",40,10.9,10.95,440,8.25,10.05,29.77,"47,142","2,856","3,009"
37,37,37,65.41,"1,477.15",-801.8,80,"1,214.85","1,381.70",400,"19,300.00",440,12.1,12.95,160,9.75,11.9,28.82,"35,541","3,183","3,251"
-,-,-,-,-,-,400,915.15,"1,291.75",400,"19,400.00",160,14.55,14.9,640,12.75,15.05,27.53,"51,865","4,017","4,169"
32,-,3,73.21,"1,395.50",-584.9,360,"1,014.20","1,220.50",160,"19,500.00",80,18.65,19.25,"1,800",16.2,18.65,27.06,"1,12,475","7,184","7,292"
-,-,-,-,-,-,400,721.65,"1,129.70",400,"19,600.00",120,23.85,25.5,240,17.35,20.05,26.82,"49,104","1,937","2,020"
20,-,18,72.44,"1,252.90",-562.1,120,840.8,"1,078.15",80,"19,700.00",960,30.5,30.65,"1,720",27.6,30.5,25.79,"67,467","3,516","3,652"
-,-,-,-,-,-,-,-,-,-,"19,750.00",40,33.45,43.05,160,4.6,33.7,25.34,"11,339",540,540
22,-,-,-,"1,675.05",-,400,711.4,934.65,400,"19,800.00",400,34.8,40,40,33.45,36.75,24.79,"66,160","2,409","2,605"
-,-,-,-,-,-,-,-,-,-,"19,850.00",320,42.25,69.8,240,6.45,42.25,24.63,"15,153","2,067","2,067"
-,-,-,-,-,-,400,621.7,838.6,400,"19,900.00",200,47.4,58.9,320,44.35,47.9,24.37,"59,490","2,300","2,381"
-,-,-,-,-,-,400,597.75,880,400,"19,950.00",40,50,72.6,200,52.4,56.15,24.41,"22,216",976,"1,044"
26,9,27,25.79,636.85,-813.15,720,545.95,646.1,320,"20,000.00",160,59.8,62,"3,320",58.15,62,23.95,"1,30,115","5,039","5,565"
-,-,-,-,-,-,400,513.65,738.75,400,"20,050.00",40,67.05,114.95,240,65.85,70,23.69,"24,270",198,715
18,18,19,24.23,547.1,-985.25,400,482.15,591.3,160,"20,100.00",40,70,90.9,320,18.45,76.7,23.14,"45,437","2,914","2,914"
10,10,13,22.88,498.45,-989.9,400,436.6,566.25,600,"20,150.00",160,84,110.3,"1,600",34.5,98.4,24.32,"17,676",561,561
39,37,111,23.6,467.9,-832.1,120,434.55,517.35,80,"20,200.00",40,91.65,99.8,160,86.05,91.6,21.95,"64,081","3,121","4,476"
33,33,48,23.36,430.65,-970.95,120,368.85,480.7,240,"20,250.00",40,103.55,123,80,97.4,103.25,21.67,"24,316",412,750
69,69,167,22.95,393.1,-965.85,120,351.3,427.75,240,"20,300.00",120,120,126.7,80,120.2,126.65,22.45,"67,198","1,993","3,411"
67,67,221,22.8,359.2,-957.6,280,325.45,401.2,160,"20,350.00",40,125,175.55,"1,600",43.05,134,21.48,"32,649",916,916
435,435,"2,010",22.93,329.7,-945.4,120,323,329.7,240,"20,400.00",480,157,162,160,148.85,157,21.91,"85,509","1,931","3,383"
328,328,"1,403",22.36,294.65,-939.35,120,271.35,298.7,320,"20,450.00",40,176,184.2,40,160.3,169.5,21.13,"44,669","1,469","1,502"
"2,827","2,827","11,809",22.64,270,-923.45,160,253.8,270,"1,160","20,500.00",80,189.75,202,640,179.35,189.75,20.95,"1,51,151","5,215","7,626"
"2,169","2,169","10,953",20.45,221,-932.45,120,221.1,245,"1,040","20,550.00",40,216.6,230.4,200,218.6,230.35,22.54,"80,359","2,290","2,559"
"6,276","6,272","43,948",22.71,220.55,-689.45,120,216,225,120,"20,600.00","1,520",241.85,254.75,120,229.65,242.75,21.28,"1,65,955","2,396","5,287"
"2,048","2,048","30,898",22.14,192,-883.25,120,190,205,40,"20,650.00",40,264.7,-,-,262.35,277.3,21.96,"1,22,508","1,292","1,724"
"12,456","12,451","1,08,043",22.52,175,-675,40,160,175,240,"20,700.00",40,280,330.5,80,262.95,280.05,19.38,"2,00,821","5,846","7,801"
"2,779","2,779","35,929",22.66,157.05,-842.55,400,151,157.05,280,"20,750.00",120,320.3,400.6,240,382.6,402.5,28.42,"83,514","1,213","1,389"
"9,075","9,066","1,07,295",22.74,140,-562.5,240,131.55,138,600,"20,800.00",240,336.65,380.95,160,350.55,372.75,22.31,"1,52,414","2,814","4,902"
"2,491","2,491","45,232",22.56,122,-804.5,520,118.5,130,40,"20,850.00",40,386.15,411,80,357.7,383.85,19.86,"69,112","1,153","1,535"
"9,783","9,783","1,34,797",22.86,109.95,-781.15,840,106.55,110,120,"20,900.00",400,350.55,445,440,402.75,432.5,21.27,"1,45,521",180,"7,171"
"3,219","3,219","70,004",22.92,97,-759.4,40,90.2,98,40,"20,950.00",240,433.5,503.8,120,450.2,484,22.96,"50,409",827,881
"20,576","20,355","2,23,006",22.82,83.95,-435.8,600,79.4,84,"1,320","21,000.00","12,600",500,548.15,"1,040",474,513,21.89,"1,04,804","1,348","9,434"
"4,540","4,537","57,490",22.82,73,-410.45,160,68.95,73.65,720,"21,050.00",120,502.6,591.65,160,510.15,557.25,22.53,"17,588",944,"1,450"
"9,232","9,201","1,05,193",22.38,60,-386.35,160,55,64.95,"1,800","21,100.00",120,569.65,638.75,400,529.2,583.65,20.51,"26,231","-3,014","2,820"
"2,588","2,566","56,943",23.46,58.8,-336.9,120,42.1,58.7,40,"21,150.00",240,561.6,680.7,400,579.75,642.85,23.12,"6,186",-48,775
"5,380","5,333","92,756",23.34,50,-308.1,760,45,50,240,"21,200.00",200,661,714.2,240,608.75,682.55,22.74,"8,680","-1,250",801
